loan_id,Customer_ID,loan_start_date,tenure,installment_num,loan_amt,due_amt,paid_amt,overdue_amt,balance,snapshot_date,normalized_snapshot_date,bronze_ingestion_timestamp,bronze_source_file,bronze_processing_date
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,7,10000,1000,1000,0,3000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,10,10000,1000,1000,0,0,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,9,10000,1000,1000,0,1000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x102e_2024_04_01,CUS_0x102e,1/4/2024,10,6,10000,1000,0,4000,8000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x1038_2024_10_01,CUS_0x1038,1/10/2024,10,0,10000,0,0,0,10000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x1048_2024_02_01,CUS_0x1048,1/2/2024,10,8,10000,1000,0,7000,9000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x104a_2023_12_01,CUS_0x104a,1/12/2023,10,10,10000,1000,1000,0,0,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x104f_2024_10_01,CUS_0x104f,1/10/2024,10,0,10000,0,0,0,10000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x1051_2024_01_01,CUS_0x1051,1/1/2024,10,9,10000,1000,1000,0,1000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x1063_2023_12_01,CUS_0x1063,1/12/2023,10,10,10000,1000,1000,0,0,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x1075_2024_05_01,CUS_0x1075,1/5/2024,10,5,10000,1000,0,1000,6000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x1087_2024_09_01,CUS_0x1087,1/9/2024,10,1,10000,1000,1000,0,9000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x1096_2024_03_01,CUS_0x1096,1/3/2024,10,7,10000,1000,0,4000,7000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x109d_2024_04_01,CUS_0x109d,1/4/2024,10,6,10000,1000,1000,0,4000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x10a9_2024_10_01,CUS_0x10a9,1/10/2024,10,0,10000,0,0,0,10000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x10ac_2024_08_01,CUS_0x10ac,1/8/2024,10,2,10000,1000,1000,0,8000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x10c0_2024_02_01,CUS_0x10c0,1/2/2024,10,8,10000,1000,0,8000,10000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x10c5_2024_08_01,CUS_0x10c5,1/8/2024,10,2,10000,1000,0,2000,10000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x10d7_2023_12_01,CUS_0x10d7,1/12/2023,10,10,10000,1000,0,7000,7000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x10dd_2024_06_01,CUS_0x10dd,1/6/2024,10,4,10000,1000,1000,0,6000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x10fd_2023_12_01,CUS_0x10fd,1/12/2023,10,10,10000,1000,0,7000,7000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x1108_2024_07_01,CUS_0x1108,1/7/2024,10,3,10000,1000,1000,0,7000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x1109_2024_06_01,CUS_0x1109,1/6/2024,10,4,10000,1000,0,1000,7000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x111b_2024_10_01,CUS_0x111b,1/10/2024,10,0,10000,0,0,0,10000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x111c_2024_03_01,CUS_0x111c,1/3/2024,10,7,10000,1000,0,5000,8000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x1123_2024_10_01,CUS_0x1123,1/10/2024,10,0,10000,0,0,0,10000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x112d_2024_03_01,CUS_0x112d,1/3/2024,10,7,10000,1000,0,3000,6000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x112e_2024_04_01,CUS_0x112e,1/4/2024,10,6,10000,1000,1000,0,4000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
CUS_0x1138_2024_09_01,CUS_0x1138,1/9/2024,10,1,10000,1000,1000,0,9000,1/10/2024,2024-10-01,2025-11-09 07:30:19.821879,data/lms_loan_daily.csv,2024-10-01
